Date,Close Price
2025-01-03,456.75
2025-01-02,459.50
2024-12-31,458.50
2024-12-30,452.25
2024-12-27,454.00
2024-12-26,453.75
2024-12-24,448.50
2024-12-23,447.75
2024-12-20,446.25
2024-12-19,440.75
2024-12-18,437.25
2024-12-17,443.50
2024-12-16,445.00
2024-12-13,430.00
2024-12-12,431.75
2024-12-11,438.00
2024-12-10,440.50
2024-12-09,434.00
2024-12-06,430.75
2024-12-05,426.50
2024-12-04,422.00
2024-12-03,423.25
2024-12-02,424.50
2024-11-29,423.00
2024-11-27,415.75
2024-11-26,420.00
2024-11-25,424.75
2024-11-22,425.50
2024-11-21,426.75
2024-11-20,430.25
2024-11-19,427.25
2024-11-18,429.25
2024-11-15,424.00
2024-11-14,419.00
2024-11-13,426.50
2024-11-12,428.50
2024-11-11,430.00
2024-11-08,431.00
2024-11-07,427.50
2024-11-06,426.25
2024-11-05,418.50
2024-11-04,416.50
2024-11-01,414.50
2024-10-31,410.75
2024-10-30,411.50
2024-10-29,413.75
2024-10-28,410.75
2024-10-25,415.25
2024-10-24,421.50
2024-10-23,419.00
2024-10-22,416.50
2024-10-21,409.50
2024-10-18,404.75
2024-10-17,406.75
2024-10-16,404.75
2024-10-15,401.25
2024-10-14,408.25
2024-10-11,415.75
2024-10-10,418.50
2024-10-09,421.00
2024-10-08,420.75
2024-10-07,426.00
